depth_m,area_m2,lake
7.5,1232,Nastjarn
8,712,Nastjarn
8.5,459,Nastjarn
9,270,Nastjarn
9.5,154,Nastjarn
10,65,Nastjarn
10.5,4,Nastjarn
0,7796,Lillsjoliden
0.5,7494,Lillsjoliden
1,7026,Lillsjoliden
1.5,6436,Lillsjoliden
2,5730,Lillsjoliden
2.5,5101,Lillsjoliden
3,4413,Lillsjoliden
3.5,3605,Lillsjoliden
4,2445,Lillsjoliden
4.5,221,Lillsjoliden
5,60,Lillsjoliden
5.5,6,Lillsjoliden
0,30538,Struptjarn
0.5,29554,Struptjarn
1,28093,Struptjarn
1.5,26641,Struptjarn
2,25155,Struptjarn
2.5,23549,Struptjarn
3,21570,Struptjarn
3.5,18978,Struptjarn
4,15657,Struptjarn
4.5,9396,Struptjarn
5,2340,Struptjarn
5.5,274,Struptjarn
0,270600000,Vortsjarv
0.1,268800000,Vortsjarv
0.2,267000000,Vortsjarv
0.3,265400000,Vortsjarv
0.4,263800000,Vortsjarv
0.5,262200000,Vortsjarv
0.6,260600000,Vortsjarv
0.7,259000000,Vortsjarv
0.8,256800000,Vortsjarv
0.9,254600000,Vortsjarv
1,252400000,Vortsjarv
1.1,250200000,Vortsjarv
1.2,248000000,Vortsjarv
1.3,244800000,Vortsjarv
1.4,241600000,Vortsjarv
1.5,238400000,Vortsjarv
1.6,235200000,Vortsjarv
1.7,232000000,Vortsjarv
1.8,226600000,Vortsjarv
1.9,221200000,Vortsjarv
2,215800000,Vortsjarv
2.1,210400000,Vortsjarv
2.2,205000000,Vortsjarv
2.3,197400000,Vortsjarv
2.4,189800000,Vortsjarv
2.5,182200000,Vortsjarv
2.6,174600000,Vortsjarv
2.7,167000000,Vortsjarv
2.8,156400000,Vortsjarv
2.9,145800000,Vortsjarv
3,135200000,Vortsjarv
3.1,124600000,Vortsjarv
3.2,114000000,Vortsjarv
3.3,96600000,Vortsjarv
3.4,79200000,Vortsjarv
3.5,61800000,Vortsjarv
3.6,44400000,Vortsjarv
3.7,27000000,Vortsjarv
3.8,23400000,Vortsjarv
3.9,19800000,Vortsjarv
4,16200000,Vortsjarv
4.1,12600000,Vortsjarv
4.2,9000000,Vortsjarv
4.3,8000000,Vortsjarv
4.4,7000000,Vortsjarv
4.5,6000000,Vortsjarv
4.6,5000000,Vortsjarv
4.7,4000000,Vortsjarv
4.8,3500000,Vortsjarv
4.9,3000000,Vortsjarv
5,2500000,Vortsjarv
5.1,2000000,Vortsjarv
5.2,1500000,Vortsjarv
5.3,1360000,Vortsjarv
5.4,1220000,Vortsjarv
5.5,1080000,Vortsjarv
5.6,940000,Vortsjarv
5.7,800000,Vortsjarv
5.8,600000,Vortsjarv
5.9,400000,Vortsjarv
6,200000,Vortsjarv
0,59774,Langtjern 2013
1,47228.8,Langtjern 2013
2,36159.6,Langtjern 2013
3,26566.2,Langtjern 2013
4,18448.8,Langtjern 2013
5,11807.2,Langtjern 2013
6,6641.6,Langtjern 2013
7,2951.8,Langtjern 2013
8,738,Langtjern 2013
9,10,Langtjern 2013
0,59774,Langtjern 2014
1,47228.8,Langtjern 2014
2,36159.6,Langtjern 2014
3,26566.2,Langtjern 2014
4,18448.8,Langtjern 2014
5,11807.2,Langtjern 2014
6,6641.6,Langtjern 2014
7,2951.8,Langtjern 2014
8,738,Langtjern 2014
9,10,Langtjern 2014
0,258924.72,Crampton
0.5,250570.32,Crampton
1,241422.25,Crampton
1.5,230037.27,Crampton
2,213789.77,Crampton
2.5,191678.41,Crampton
3,169216.84,Crampton
3.5,153524.9,Crampton
4,137328.22,Crampton
4.5,124871.75,Crampton
5,111853.08,Crampton
5.5,100091.49,Crampton
6,88977.33,Crampton
6.5,77869.89,Crampton
7,66752.67,Crampton
7.5,57385.03,Crampton
8,50479.88,Crampton
8.5,44025.53,Crampton
9,36997.26,Crampton
9.5,31584.1,Crampton
10,27198.5,Crampton
10.5,22579.01,Crampton
11,19193.48,Crampton
11.5,16467.17,Crampton
12,14125.5,Crampton
12.5,12208.11,Crampton
13,10279.59,Crampton
13.5,8638.92,Crampton
14,6890.42,Crampton
14.5,5484.74,Crampton
15,4194.64,Crampton
15.5,2904.4,Crampton
16,2146.41,Crampton
16.5,1585.01,Crampton
17,1019.6,Crampton
17.5,467.7,Crampton
18,149.82,Crampton
18.5,10.4,Crampton
0,31869.25,EastLong
2,21591.01,EastLong
4,12823.58,EastLong
6,7279.99,EastLong
8,3989.4,EastLong
10,2187.25,EastLong
12,1028.07,EastLong
14,380.65,EastLong
0,58818.49,Morris
0.6,48131.4,Morris
1.21,41124.56,Morris
1.82,35579.17,Morris
2.43,28619.79,Morris
3.04,23694.97,Morris
3.65,16653.49,Morris
3.96,1390.03,Morris
4.26,12044.18,Morris
4.87,4359.66,Morris
5.48,1931.94,Morris
6.09,629.95,Morris
6.7,36.14,Morris
0,3113090,Feeagh
6,2997760,Feeagh
12,2139500,Feeagh
15,1797700,Feeagh
18,1379600,Feeagh
21,1128800,Feeagh
24,868100,Feeagh
30,395900,Feeagh
37,157400,Feeagh
43,68900,Feeagh
0,6258753.15,Lillinonah
6.09,4323242.23,Lillinonah
12.19,2641906.78,Lillinonah
18.29,1320743.18,Lillinonah
24.38,339234.37,Lillinonah
0,39865825,Mendota
0.872358621,38308175,Mendota
1.744717241,35178625,Mendota
2.617075862,33403850,Mendota
3.489434483,31530150,Mendota
4.361793103,30154150,Mendota
5.234151724,29022000,Mendota
6.106510345,28063625,Mendota
6.978868966,27501875,Mendota
7.851227586,26744500,Mendota
8.723586207,26084050,Mendota
9.595944828,25310550,Mendota
10.46830345,24685650,Mendota
11.34066207,23789125,Mendota
12.21302069,22829450,Mendota
13.08537931,21563875,Mendota
13.95773793,20081675,Mendota
14.83009655,18989925,Mendota
15.70245517,17240525,Mendota
16.57481379,15659325,Mendota
17.44717241,14100275,Mendota
18.31953103,12271400,Mendota
19.19188966,9962525,Mendota
20.06424828,7777250,Mendota
20.9366069,5956775,Mendota
21.80896552,4039800,Mendota
22.68132414,2560125,Mendota
23.55368276,820925,Mendota
24.42604138,216125,Mendota
25.2984,775,Mendota
0,15555107.64,Trout
3.048,14330067.95,Trout
6.096,12186227.22,Trout
9.144,10525824.07,Trout
12.192,8285548.389,Trout
15.24,6899447.627,Trout
18.288,5844072.444,Trout
21.336,4948201.258,Trout
24.384,3823119.116,Trout
27.432,2303341.018,Trout
30.48,1560052.637,Trout
33.528,386032.3792,Trout
