id	site	dateTime	TP(µg/L)	TN(µg/L)	SRP(µgP/L)	PO4(µgP/L)	NH4(µgN/L)	NO3+NO2(µgN/L)	NO3(µgN/L)	NO2(µgN/L)	DOC(mgC/L)	depth_m	Comment
58	Langtjern	2013-10-27//16:00:00	4	250	NA	NA	0	NA	5	NA	11.7	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2038
59	Langtjern	2013-11-04//15:42:00	11	275	NA	NA	11	NA	5	NA	12.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2039
60	Langtjern	2013-11-10//13:56:00	7	265	NA	NA	4	NA	4	NA	12	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2040
61	Langtjern	2013-11-17//14:14:00	3	280	NA	NA	0	NA	7	NA	12.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2041
62	Langtjern	2013-11-24//00:00:00	8	280	NA	NA	0	NA	9	NA	14	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2042
63	Langtjern	2013-12-01//00:00:00	7	290	NA	NA	0	NA	7	NA	13.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2043
64	Langtjern	2013-12-08//14:30:00	5	275	NA	NA	10	NA	7	NA	13.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2044
65	Langtjern	2013-12-15//14:17:00	4	300	NA	NA	5	NA	7	NA	13	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2045
66	Langtjern	2013-12-22//13:50:00	3	275	NA	NA	4	NA	7	NA	11.7	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2046
67	Langtjern	2013-12-28//00:00:00	3	275	NA	NA	4	NA	13	NA	12	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2047
68	Langtjern	2014-01-05//14:30:00	3	215	NA	NA	5	NA	16	NA	10.5	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2048
69	Langtjern	2014-01-12//00:00:00	3	235	NA	NA	2	NA	19	NA	9.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2049
70	Langtjern	2014-01-21//14:16:00	2	220	NA	NA	0	NA	22	NA	9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2050
71	Langtjern	2014-01-26//00:00:00	3	190	NA	NA	3	NA	22	NA	9.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2051
72	Langtjern	2014-02-02//14:10:00	3	210	NA	NA	4	NA	20	NA	9.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2052
73	Langtjern	2014-02-09//13:45:00	4	225	NA	NA	3	NA	19	NA	9.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2053
74	Langtjern	2014-02-16//13:50:00	4	230	NA	NA	4	NA	19	NA	10.4	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2054
75	Langtjern	2014-02-23//15:00:00	4	250	NA	NA	6	NA	22	NA	10.2	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2055
76	Langtjern	2014-03-02//16:43:00	2	225	NA	NA	5	NA	23	NA	10.7	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2056
77	Langtjern	2014-03-10//16:25:00	4	265	NA	NA	8	NA	28	NA	10.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2057
78	Langtjern	2014-03-16//13:00:00	2	255	NA	NA	12	NA	48	NA	10.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2058
79	Langtjern	2014-03-23//16:41:00	2	240	NA	NA	9	NA	42	NA	10.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2059
80	Langtjern	2014-03-30//11:54:00	2	295	NA	NA	11	NA	46	NA	10.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2060
81	Langtjern	2014-04-06//18:50:00	0	240	NA	NA	14	NA	49	NA	9.7	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2061
82	Langtjern	2014-04-14//13:55:00	4	230	NA	NA	13	NA	44	NA	8.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2062
83	Langtjern	2014-04-21//14:21:00	2	210	NA	NA	12	NA	39	NA	6.7	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2063
84	Langtjern	2014-04-27//15:46:00	2	165	NA	NA	4	NA	15	NA	5.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2064
85	Langtjern	2014-05-04//13:20:00	3	155	NA	NA	2	NA	15	NA	5.5	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2065
86	Langtjern	2014-05-11//15:17:00	3	150	NA	NA	3	NA	14	NA	5.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2066
87	Langtjern	2014-05-18//15:35:00	2	190	NA	NA	4	NA	6	NA	7.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2067
88	Langtjern	2014-05-25//14:27:00	9	210	NA	NA	2	NA	3	NA	7.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2068
89	Langtjern	2014-06-01//14:17:00	4	215	NA	NA	0	NA	3	NA	7.2	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2069
90	Langtjern	2014-06-08//16:28:00	7	235	NA	NA	3	NA	0	NA	7.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2070
91	Langtjern	2014-06-16//12:00:00	1	210	NA	NA	3	NA	0	NA	7.4	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2071
92	Langtjern	2014-06-22//15:58:00	5	265	NA	NA	10	NA	1	NA	6.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2072
93	Langtjern	2014-06-29//14:35:00	5	245	NA	NA	14	NA	1	NA	7.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2073
94	Langtjern	2014-07-06//13:49:00	6	270	NA	NA	10	NA	10	NA	7.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2074
95	Langtjern	2014-07-13//11:51:00	4	240	NA	NA	5	NA	0	NA	7.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2075
96	Langtjern	2014-07-21//11:36:00	5	235	NA	NA	6	NA	1	NA	8.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2076
97	Langtjern	2014-07-28//00:00:00	5	245	NA	NA	20	NA	8	NA	7.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2077
98	Langtjern	2014-08-03//14:54:00	5	250	NA	NA	19	NA	8	NA	8.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2078
99	Langtjern	2014-08-10//15:14:00	7	440	NA	NA	15	NA	12	NA	8.2	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2079
100	Langtjern	2014-08-17//14:35:00	4	230	NA	NA	7	NA	2	NA	8.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2080
101	Langtjern	2014-08-24//16:35:00	4	230	NA	NA	7	NA	0	NA	9.7	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2081
102	Langtjern	2014-08-31//14:29:00	3	250	NA	NA	5	NA	0	NA	9.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2082
103	Langtjern	2014-09-08//13:27:00	4	275	NA	NA	10	NA	4	NA	9.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2083
104	Langtjern	2014-09-15//15:56:00	3	300	NA	NA	14	NA	0	NA	11.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2084
105	Langtjern	2014-09-21//15:38:00	6	295	NA	NA	12	NA	0	NA	12	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2085
106	Langtjern	2014-09-28//15:23:00	4	185	NA	NA	12	NA	9	NA	10.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2086
107	Langtjern	2014-10-05//15:02:00	4	275	NA	NA	12	NA	5	NA	10.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2087
108	Langtjern	2014-10-12//14:38:00	7	275	NA	NA	14	NA	8	NA	11.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2088
109	Langtjern	2014-10-19//12:33:00	2	270	NA	NA	11	NA	7	NA	12.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2089
110	Langtjern	2014-10-27//15:56:00	5	265	NA	NA	7	NA	8	NA	12.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2090
111	Langtjern	2014-11-02//11:05:00	4	240	NA	NA	3	NA	6	NA	12.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2091
112	Langtjern	2014-11-09//13:55:00	3	250	NA	NA	0	NA	11	NA	12.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2092
113	Langtjern	2014-11-17//13:06:00	4	245	NA	NA	0	NA	10	NA	11.7	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2093
114	Langtjern	2014-11-22//13:53:00	3	260	NA	NA	4	NA	11	NA	12	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2094
115	Langtjern	2014-12-03//14:22:00	3	240	NA	NA	4	NA	11	NA	12.3	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2095
